,PLAYER,NATIONALITY,TYPE,BASE PRICE
0,Steve Smith,Overseas,Batter,"2,00,00,000"
1,Josh Inglis,Overseas,Wicket-Keeper,"2,00,00,000"
2,Josh Hazlewood ,Overseas,Bowler,"2,00,00,000"
3,Adil Rashid ,Overseas,Bowler,"2,00,00,000"
4,Rassie Van Der Dussen,Overseas,Batter,"2,00,00,000"
5,James Vince,Overseas,Batter,"2,00,00,000"
6,Sean Abbott,Overseas,All-Rounder,"2,00,00,000"
7,Jamie Overton,Overseas,All-Rounder,"2,00,00,000"
8,Ben Duckett,Overseas,Wicket-Keeper,"2,00,00,000"
9,Philip Salt,Overseas,Wicket-Keeper,"1,50,00,000"
10,Colin Munro,Overseas,Batter,"1,50,00,000"
11,Jason Holder,Overseas,All-Rounder,"1,50,00,000"
12,James Neesham,Overseas,All-Rounder,"1,50,00,000"
13,Daniel Sams,Overseas,All-Rounder,"1,50,00,000"
14,Chris Jordan,Overseas,Bowler,"1,50,00,000"
15,Tymal Mills,Overseas,Bowler,"1,50,00,000"
16,Tim Southee,Overseas,Bowler,"1,50,00,000"
17,Ashton Agar,Overseas,All-Rounder,"1,00,00,000"
18,Michael Bracewell,Overseas,All-Rounder,"1,00,00,000"
19,Dwaine Pretorius,Overseas,All-Rounder,"1,00,00,000"
20,Sam Billings ,Overseas,Wicket-Keeper,"1,00,00,000"
21,Kyle Jamieson,Overseas,Bowler,"1,00,00,000"
22,Riley Meredith,Overseas,Bowler,"1,00,00,000"
23,Adam Milne,Overseas,Bowler,"1,00,00,000"
24,Wayne Parnell,Overseas,Bowler,"1,00,00,000"
25,David Wiese,Overseas,All-Rounder,"1,00,00,000"
26,Ish Sodhi,Overseas,Bowler,"75,00,000"
27,Finn Allen,Overseas,Batter,"75,00,000"
28,Fabian Allen,Overseas,All-Rounder,"75,00,000"
29,Keemo Paul,Overseas,All-Rounder,"75,00,000"
30,Matt Henry,Overseas,Bowler,"75,00,000"
31,Lance Morris,Overseas,Bowler,"75,00,000"
32,Ollie Robinson,Overseas,Bowler,"75,00,000"
33,Billy Stanlake,Overseas,Bowler,"75,00,000"
34,Olly Stone,Overseas,Bowler,"75,00,000"
35,Karun Nair,Indian,Batter,"50,00,000"
36,Kusal Mendis,Overseas,Wicket-Keeper,"50,00,000"
37,Akeal Hosein,Overseas,Bowler,"50,00,000"
38,Mohammad Waqar Salamkheil,Overseas,Bowler,"50,00,000"
39,Tabraiz Shamsi,Overseas,Bowler,"50,00,000"
40,Alick Athanaze,Overseas,Batter,"50,00,000"
41,Mark Chapman,Overseas,Batter,"50,00,000"
42,Samuel Hain,Overseas,Batter,"50,00,000"
43,Reeza Hendricks,Overseas,Batter,"50,00,000"
44,Brandon King,Overseas,Batter,"50,00,000"
45,Ibrahim Zadran,Overseas,Batter,"50,00,000"
46,Najibullah Zadran,Overseas,Batter,"50,00,000"
47,Wesley Agar,Overseas,All-Rounder,"50,00,000"
48,Qais Ahamad,Overseas,All-Rounder,"50,00,000"
49,Charith Asalanka,Overseas,All-Rounder,"50,00,000"
50,Brydon Carse,Overseas,All-Rounder,"50,00,000"
51,Ben Cutting,Overseas,All-Rounder,"50,00,000"
52,Matthew Forde,Overseas,All-Rounder,"50,00,000"
53,George Garton,Overseas,All-Rounder,"50,00,000"
54,George Linde,Overseas,All-Rounder,"50,00,000"
55,Keshav Maharaj,Overseas,All-Rounder,"50,00,000"
56,Wiaan Mulder,Overseas,All-Rounder,"50,00,000"
57,Dasun Shanaka,Overseas,All-Rounder,"50,00,000"
58,Matthew Short,Overseas,All-Rounder,"50,00,000"
59,Odean Smith,Overseas,All-Rounder,"50,00,000"
60,Hanuma Vihari,Indian,All-Rounder,"50,00,000"
61,Johnson Charles,Overseas,Wicket-Keeper,"50,00,000"
62,Varun Aaron,Indian,Bowler,"50,00,000"
63,Fareed Ahmad,Overseas,Bowler,"50,00,000"
64,Dushmanta Chameera,Overseas,Bowler,"50,00,000"
65,Ben Dwarshuis,Overseas,Bowler,"50,00,000"
66,Richard Gleeson,Overseas,Bowler,"50,00,000"
67,Siddharth  Kaul,Indian,Bowler,"50,00,000"
68,Lahiru Kumara,Overseas,Bowler,"50,00,000"
69,Obed Mccoy,Overseas,Bowler,"50,00,000"
70,Blessing Muzarabani,Overseas,Bowler,"50,00,000"
71,Richard Ngarava,Overseas,Bowler,"50,00,000"
72,George Scrimshaw,Overseas,Bowler,"50,00,000"
73,Barinder Sran,Indian,Bowler,"50,00,000"
74,Oshane Thomas,Overseas,Bowler,"50,00,000"
75,Sandeep Warrier,Indian,Bowler,"50,00,000"
76,Lizaad Williams,Overseas,Bowler,"50,00,000"
77,Luke Wood,Overseas,Bowler,"50,00,000"
78,Benny Howell,Overseas,All-Rounder,"40,00,000"
79,Jalaj Saxena,Indian,All-Rounder,"40,00,000"
80,Corbin Bosch,Overseas,All-Rounder,"30,00,000"
81,Kamlesh Nagarkoti,Indian,All-Rounder,"30,00,000"
