,University,State,Location,Centralised,Established,Specialisation
0,Central Tribal University of Andhra Pradesh[note 1],Andhra Pradesh,Vizianagaram,2019,2019,Tribal General
1,Central University of Andhra Pradesh[note 1],Andhra Pradesh,Anantapur,2019,2019,General
2,National Sanskrit University[note 2],Andhra Pradesh,Tirupati,2020,1956,Sanskrit
3,Rajiv Gandhi University,Arunachal Pradesh,Itanagar,2007,1985,General
4,Assam University,Assam,Silchar,1994,1994,General
5,Tezpur University,Assam,Tezpur,1994,1994,General
6,Central University of South Bihar,Bihar,Gaya,2009,2009,General
7,Mahatma Gandhi Central University[note 1],Bihar,Motihari,2016,2016,General
8,Nalanda University[note 3][note 4],Bihar,"Rajgir, Nalanda",2010,2010,International university
9,Dr. Rajendra Prasad Central Agriculture University[note 3],Bihar,Samastipur,2016,1905,Agriculture
10,Guru Ghasidas Vishwavidyalaya,Chhattisgarh,Bilaspur,2009,1983,General
11,Central Sanskrit University[note 2],Delhi,New Delhi,2020,1970,Sanskrit
12,Indira Gandhi National Open University[note 3],Delhi,New Delhi,1985,1985,Distance education
13,Jamia Millia Islamia,Delhi,New Delhi,1988,1920,General
14,Jawaharlal Nehru University,Delhi,New Delhi,1969,1969,General
15,Shri Lal Bahadur Shastri National Sanskrit University[note 2],Delhi,New Delhi,2020,1962,Sanskrit
16,South Asian University[note 3],Delhi,New Delhi,2010,2010,International university
17,University of Delhi,Delhi,New Delhi,1922,1922,General
18,Central University of Gujarat[note 5],Gujarat,Gandhinagar,2009,2009,General
19,Gati Shakti Vishwavidyalaya[note 1],Gujarat,Vadodara,2018,2022,Transport
20,Central University of Haryana[note 5],Haryana,Mahendragarh,2009,2009,General
21,Central University of Himachal Pradesh[note 5],Himachal Pradesh,Dharamsala,2009,2009,General
22,Central University of Jammu[note 5],Jammu and Kashmir,Jammu,2011,2011,General
23,Central University of Kashmir[note 5],Jammu and Kashmir,Ganderbal,2009,2009,General
24,Central University of Jharkhand[note 5],Jharkhand,Ranchi,2009,2009,General
25,Central University of Karnataka[note 5],Karnataka,Kalaburagi,2009,2009,General
26,Central University of Kerala[note 5],Kerala,Kasaragod,2009,2009,General
27,Sindhu Central University[note 1],Ladakh,Khalatse,2021,2021,General
28,Dr. Hari Singh Gour University,Madhya Pradesh,Sagar,2009,1946,General
29,Indira Gandhi National Tribal University,Madhya Pradesh,Amarkantak,2007,2007,General
30,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Maharashtra,Wardha,1997,1997,Hindi language
31,Central Agricultural University[note 3],Manipur,Imphal,1993,1993,Agriculture
32,Manipur University,Manipur,Imphal,2005,1980,General
33,National Sports University[note 3],Manipur,Imphal,2018,2018,Sports
34,North Eastern Hill University,Meghalaya,Shillong,1973,1973,General
35,Mizoram University,Mizoram,Aizawl,2000,2000,General
36,Nagaland University,Nagaland,Lumami,1994,1994,General
37,Central University of Odisha[note 5],Odisha,Koraput,2009,2009,General
38,Pondicherry University,Puducherry,Pondicherry,1985,1985,General
39,Central University of Punjab[note 5],Punjab,Bathinda,2009,2009,General
40,Central University of Rajasthan[note 5],Rajasthan,Ajmer,2009,2009,General
41,Sikkim University,Sikkim,Gangtok,2007,2007,General
42,Central University of Tamil Nadu[note 5],Tamil Nadu,Tiruvarur,2009,2009,General
43,Indian Maritime University[note 3],Tamil Nadu,Chennai,2008,2008,Marine science
44,English and Foreign Languages University,Telangana,Hyderabad,2007,1958,English and foreign languages
45,Maulana Azad National Urdu University,Telangana,Hyderabad,1998,1998,Urdu language
46,University of Hyderabad,Telangana,Hyderabad,1974,1974,General
47,Tripura University,Tripura,Agartala,1987,1987,General
48,Aligarh Muslim University,Uttar Pradesh,Aligarh,1920,1920,General
49,University of Allahabad,Uttar Pradesh,Prayagraj,2005,1887,General
50,Babasaheb Bhimrao Ambedkar University,Uttar Pradesh,Lucknow,1996,1996,General
51,Banaras Hindu University,Uttar Pradesh,Varanasi,1916,1916,General
52,Rajiv Gandhi National Aviation University[note 3],Uttar Pradesh,Raebareli,2013,2013,Aviation science
53,Rani Lakshmi Bai Central Agricultural University[note 3],Uttar Pradesh,Jhansi,2014,2014,Agriculture
54,Hemwati Nandan Bahuguna Garhwal University,Uttarakhand,Srinagar,2009,1973,General
55,Visva-Bharati University,West Bengal,Santiniketan,1921,1921,General
