Company Name,Address,Status
 Sunspear Research And Development Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Dnp Shopping Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Prayana Travel And Logistics Private Limited ,"Chennai, Tamil Nadu, India",ACTIVE
 Enviro-E Social Foundation ,"Yavatmal, Maharashtra, India",ACTIVE
 Ratnakailas Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Chalasani Textiles Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Saints Immobilien Private Limited ,"Ahmedabad, Gujarat, India",ACTIVE
 Mata Aadhar Devi Rajendra Sewa Foundation ,"Muzaffarpur, Bihar, India",ACTIVE
 Edmik Tech Private Limited ,"South West Delhi, Delhi, India",ACTIVE
 Njxfuture Advisory Service Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Medirose Drugs And Pharmaceuticals Private Limited ,"East Delhi, Delhi, India",ACTIVE
 Akkala Imports And Exports Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Subins Ydegree Academy Private Limited ,"Alappuzha, Kerala, India",ACTIVE
 Bethesda Health Care And Medical Science Association ,"Kanchipuram, Tamil Nadu, India",ACTIVE
 Kalimata Estates And Merchants Private Limited ,"Coimbatore, Tamil Nadu, India",ACTIVE
 Navata Healthcare (Opc) Private Limited ,"Mumbai, Maharashtra, India",ACTIVE
 Shri Sarvasiddhanta Innovations Private Limited ,"Thiruvananthapuram, Kerala, India",ACTIVE
 Three Dots Fine Arts Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Techwire Innovations Private Limited ,"Faridabad, Haryana, India",ACTIVE
 Nag Ham 183 Highway Private Limited ,"Nagpur, Maharashtra, India",ACTIVE
 Marc Realties Private Limited ,"Raipur, Chattisgarh, India",ACTIVE
 M & S Engineering Technical Services Private Limited ,"Vadodara, Gujarat, India",ACTIVE
 Innector Edutech And Robotech Private Limited ,"Kolkata, West Bengal, India",ACTIVE
 Envision Beyond India Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Grandemirates International Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Ngm Multipro Private Limited ,"North West Delhi, Delhi, India",ACTIVE
 Maya Recruitment Process Outsourcing Private Limited ,"Gautam Buddha Nagar, Uttar Pradesh, India",ACTIVE
 Sanjsaga Retail Private Limited ,"Gurgaon, Haryana, India",ACTIVE
 Rajalakshmi Accelerator & Incubator For Startup Enterprises Association ,"Chennai, Tamil Nadu, India",ACTIVE
 Tree Of Trillioners Limited ,"Ajmer, Rajasthan, India",ACTIVE
 Altair Energy And Metals Private Limited ,"Gurgaon, Haryana, India",ACTIVE
 Koh Pingari Farmer Producer Company Limited ,"Mathura, Uttar Pradesh, India",ACTIVE
 Stokiza Financial Services Private Limited ,"Mumbai, Maharashtra, India",ACTIVE
 Absolute Builders And Developers Private Limited ,"Thiruvananthapuram, Kerala, India",ACTIVE
 Altuscarbon Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Balbir Singh And Sons Trading Private Limited ,"Yamuna Nagar, Haryana, India",ACTIVE
 Linearsil Metal Ceiling Private Limited ,"Ahmedabad, Gujarat, India",ACTIVE
 Apnatheka Digiworld Private Limited ,"Bikaner, Rajasthan, India",ACTIVE
 Sunoxer Technologies Private Limited ,"Faridabad, Haryana, India",ACTIVE
 Sonpur Maseeh Foundation ,"Saran, Bihar, India",ACTIVE
 Shian Apparels Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Oreegen Texyarn Private Limited ,"Dindigul, Tamil Nadu, India",ACTIVE
 Nobelbridges Construction And Developers Private Limited ,"Patna, Bihar, India",ACTIVE
 Khapang Global Tech Solution Private Limited ,"Rajkot, Gujarat, India",ACTIVE
 Infraflex Engineering Private Limited ,"Tiruvallur, Tamil Nadu, India",ACTIVE
 E-Cosystm Fintech Solutions Private Limited ,"West Delhi, Delhi, India",ACTIVE
 Tecta Realty Solutions Private Limited ,"Kanpur Nagar, Uttar Pradesh, India",ACTIVE
 Stwo Kiosk Systems Private Limited ,"Chennai, Tamil Nadu, India",ACTIVE
 Shree Maharani Trading Private Limited ,"Lucknow, Uttar Pradesh, India",ACTIVE
 Nrs Financial Services And Consultancy Private Limited ,"South West Delhi, Delhi, India",ACTIVE
 Yashraj Energy Solutions Private Limited ,"Raigarh, Maharashtra, India",ACTIVE
 Wellnex Digilife I Private Limited ,"Kolhapur, Maharashtra, India",ACTIVE
 Leap Year Ventures India Private Limited ,"Chennai, Tamil Nadu, India",ACTIVE
 Asvitlya Investment Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Susparsha Realtech Private Limited ,"Malda, West Bengal, India",ACTIVE
 Parth Roy Of Hope Foundation ,"Cooch Behar, West Bengal, India",ACTIVE
 Gbcsm Skill Development Private Limited ,"Puruliya, West Bengal, India",ACTIVE
 Fitness Exemplified Wellness Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Yuvir Farmer Producer Company Limited ,"Ghazipur, Uttar Pradesh, India",ACTIVE
 Rrp Electronics Limited ,"Thane, Maharashtra, India",ACTIVE
 Vint Pharmaceuticals Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Gandharvaasrayakrishak Producer Company Limited ,"Gonda, Uttar Pradesh, India",ACTIVE
 Vedas Agro Foods Private Limited ,"Jodhpur, Rajasthan, India",ACTIVE
 Coco's Homestay Private Limited ,"Sirohi, Rajasthan, India",ACTIVE
 Jayantu Traders Private Limited ,"Begusarai, Bihar, India",ACTIVE
 Parul Jewellers Private Limited ,"North 24 Parganas, West Bengal, India",ACTIVE
 Al-Arch Studio Private Limited ,"North West Delhi, Delhi, India",ACTIVE
 Green Icon Real Properties Private Limited ,"Erode, Tamil Nadu, India",ACTIVE
 Phoenix Trauma Center & Healthcare Private Limited ,"Farrukhabad, Uttar Pradesh, India",ACTIVE
 Chopal Nerwa Farmer Producer Company Limited ,"Shimla, Himachal Pradesh, India",ACTIVE
 Deepfuture Intelligence Systems Private Limited ,"Ernakulam, Kerala, India",ACTIVE
